ticket_id,ticket_text,category,priority,resolution_time_hours
TKT-10100,I am unable to login. Getting error 500 internal server error. I am a premium customer.,technical,high,6.2
TKT-10101,Can I integrate this tool with Slack and Microsoft Teams? I am a premium customer.,product,medium,13.1
TKT-10102,The promotional discount was not applied to my bill.,billing,urgent,5.3
TKT-10103,How do I update my credit card details for auto-renewal? I am a premium customer.,billing,urgent,2.9
TKT-10104,How does the AI feature work and is it included? Thank you in advance.,product,medium,30.3
TKT-10105,Mobile app freezes on the home screen after latest update. I am a premium customer.,technical,medium,44.7
TKT-10106,Does the tool support multi-language interface? I am a premium customer.,product,medium,21.0
TKT-10107,Is there a public roadmap for upcoming features? Reference: TKT-61645 Thank you in advance.,product,urgent,3.6
TKT-10108,There is a discrepancy in the billing amount for enterprise plan. I have been waiting for 3 days.,billing,low,78.4
TKT-10109,Getting CORS error when calling the public API. Reference: TKT-52840 This is affecting my business.,technical,low,40.5
TKT-10110,How do I transfer ownership of the account to another person? Looking forward to your response.,account,high,5.5
TKT-10111,What is the difference between Pro and Enterprise plans? Reference: TKT-80702 Please escalate this issue.,product,medium,22.4
TKT-10112,I cancelled my plan but still got billed. Requesting refund. Kindly look into this matter.,billing,urgent,1.7
TKT-10113,Payment failed but money was deducted from my account. Please help. Kindly look into this matter.,billing,high,22.6
TKT-10114,Search functionality is not returning correct results. Please help as soon as possible.,technical,low,82.2
TKT-10115,Mobile app freezes on the home screen after latest update. Reference: TKT-89593 This is affecting my business.,technical,medium,34.8
TKT-10116,I need a copy of last month's invoice for accounting purposes. Reference: TKT-13365 Looking forward to your response.,billing,high,21.4
TKT-10117,I cannot change my username. Is it permanent? I am a premium customer.,account,medium,40.9
TKT-10118,Real-time notifications are delayed by several minutes. Reference: TKT-49529 Kindly look into this matter.,technical,low,37.4
TKT-10119,My payment method expired. How do I update it without service interruption? This is urgent.,billing,high,21.9
TKT-10120,What is the difference between Pro and Enterprise plans? Thank you in advance.,product,high,14.8
TKT-10121,I was charged for premium features I didn't use. Reference: TKT-57472 Please escalate this issue.,billing,high,20.1
TKT-10122,Do you offer white-label solution for agencies? I have been waiting for 3 days.,product,high,21.9
TKT-10123,I cannot change my username. Is it permanent? Thank you in advance.,account,high,10.4
TKT-10124,How does the AI feature work and is it included? Reference: TKT-42177,product,medium,16.0
TKT-10125,Can you explain the extra charges on my recent invoice? Kindly look into this matter.,billing,medium,20.2
TKT-10126,What are the data retention policies? Reference: TKT-37802 This is affecting my business.,product,medium,27.4
TKT-10127,My account was locked after multiple failed login attempts. Looking forward to your response.,account,high,20.4
TKT-10128,I want to enable two-factor authentication. Reference: TKT-63271 Kindly look into this matter.,account,medium,43.0
TKT-10129,Can I integrate this tool with Slack and Microsoft Teams? Please escalate this issue.,product,medium,12.3
TKT-10130,Does the free plan include access to the API? Reference: TKT-63005 Please help as soon as possible.,product,medium,30.4
TKT-10131,SSO login with Google is broken since yesterday. This is affecting my business.,technical,medium,27.0
TKT-10132,I need to merge two accounts into one. Thank you in advance.,account,medium,20.0
TKT-10133,How many users can I add on the current plan? Reference: TKT-35242 Kindly look into this matter.,product,medium,16.3
TKT-10134,I want to enable two-factor authentication. Reference: TKT-73464 I have been waiting for 3 days.,account,low,48.3
TKT-10135,Account recovery options are not working. Thank you in advance.,account,high,22.9
TKT-10136,How do I update my credit card details for auto-renewal? Kindly look into this matter.,billing,high,10.5
TKT-10137,I want to enable two-factor authentication. Reference: TKT-17146 I have been waiting for 3 days.,account,low,61.4
TKT-10138,I need to add a new team member with admin privileges. Reference: TKT-11607 Please escalate this issue.,account,high,18.1
TKT-10139,Need to update company name and address in profile. Reference: TKT-16734 This is affecting my business.,account,medium,25.1
TKT-10140,Need to update company name and address in profile. Please help as soon as possible.,account,urgent,7.8
TKT-10141,Is there a public roadmap for upcoming features? Reference: TKT-83772 This is urgent.,product,medium,46.6
TKT-10142,Please delete my account permanently as per GDPR. Please help as soon as possible.,account,low,42.1
TKT-10143,Can I export all my data in bulk? Reference: TKT-78494,product,high,13.9
TKT-10144,What are the data retention policies? Looking forward to your response.,product,medium,22.8
TKT-10145,Is there a public roadmap for upcoming features? This is urgent.,product,medium,22.3
TKT-10146,Payment failed but money was deducted from my account. Please help. Reference: TKT-20641 Kindly look into this matter.,billing,urgent,0.8
TKT-10147,Webhooks are not being triggered for new events. Reference: TKT-63545 Please help as soon as possible.,technical,low,67.9
TKT-10148,What are the data retention policies? Reference: TKT-47762 Looking forward to your response.,product,high,14.1
TKT-10149,Need to update company name and address in profile. Please help as soon as possible.,account,high,5.0
TKT-10150,How can I view login history of my account?,account,high,9.6
TKT-10151,Webhooks are not being triggered for new events. Kindly look into this matter.,technical,medium,44.7
TKT-10152,How can I change the email address linked to my account? Reference: TKT-50319 This is urgent.,account,high,8.8
TKT-10153,Need to update company name and address in profile. Looking forward to your response.,account,medium,17.2
TKT-10154,Need to update company name and address in profile. Reference: TKT-15224 Please escalate this issue.,account,medium,29.6
TKT-10155,Is there a public roadmap for upcoming features? Reference: TKT-40005 Looking forward to your response.,product,high,23.7
TKT-10156,Received a bill for a service I never signed up for. Looking forward to your response.,billing,urgent,2.3
TKT-10157,File upload progress bar stuck at 99%. Please escalate this issue.,technical,medium,36.2
TKT-10158,Getting CORS error when calling the public API. Please escalate this issue.,technical,urgent,6.2
TKT-10159,Is offline mode supported on the mobile app? This is affecting my business.,product,medium,20.6
TKT-10160,Real-time notifications are delayed by several minutes. Reference: TKT-62488 Please escalate this issue.,technical,medium,38.2
TKT-10161,I cancelled my plan but still got billed. Requesting refund. Looking forward to your response.,billing,medium,25.2
TKT-10162,Is there a desktop application available? This is urgent.,product,urgent,5.2
TKT-10163,Can I integrate this tool with Slack and Microsoft Teams? Thank you in advance.,product,medium,34.8
TKT-10164,Can I export all my data in bulk? Reference: TKT-81987 This is urgent.,product,high,14.7
TKT-10165,Search functionality is not returning correct results. Reference: TKT-92578 Please escalate this issue.,technical,urgent,1.2
TKT-10166,Mobile app freezes on the home screen after latest update. Reference: TKT-63476 Thank you in advance.,technical,high,20.7
TKT-10167,I was charged for premium features I didn't use. Please help as soon as possible.,billing,low,47.1
TKT-10168,I need a copy of last month's invoice for accounting purposes. Please escalate this issue.,billing,high,7.7
TKT-10169,I am unable to verify my phone number for 2FA. I am a premium customer.,account,medium,13.5
TKT-10170,Can I customize the dashboard widgets? I have been waiting for 3 days.,product,low,66.5
TKT-10171,Mobile app freezes on the home screen after latest update. I am a premium customer.,technical,urgent,5.6
TKT-10172,I am unable to verify my phone number for 2FA. Looking forward to your response.,account,high,4.3
TKT-10173,What are the data retention policies? Thank you in advance.,product,urgent,4.3
TKT-10174,I want to enable two-factor authentication. I am a premium customer.,account,medium,20.2
TKT-10175,I need to merge two accounts into one. Kindly look into this matter.,account,urgent,5.3
TKT-10176,Getting CORS error when calling the public API. This is urgent.,technical,urgent,1.8
TKT-10177,Can I export all my data in bulk? I am a premium customer.,product,high,17.8
TKT-10178,The application keeps crashing whenever I try to upload a large file. I have been waiting for 3 days.,technical,medium,25.9
TKT-10179,Please remove the old admin who left the company. Reference: TKT-69890 Please escalate this issue.,account,urgent,7.5
TKT-10180,There is a discrepancy in the billing amount for enterprise plan. Reference: TKT-44737 I have been waiting for 3 days.,billing,high,6.8
TKT-10181,How do I transfer ownership of the account to another person? Please help as soon as possible.,account,high,10.8
TKT-10182,Does the tool support multi-language interface? Please escalate this issue.,product,urgent,1.4
TKT-10183,Payment failed but money was deducted from my account. Please help. Looking forward to your response.,billing,high,22.5
TKT-10184,My invoice shows incorrect tax calculation. Can you fix it? Please help as soon as possible.,billing,medium,43.6
TKT-10185,I forgot my password and the reset email is not arriving. This is affecting my business.,account,urgent,2.4
TKT-10186,How do I transfer ownership of the account to another person? Reference: TKT-64008 I have been waiting for 3 days.,account,medium,35.8
TKT-10187,I am unable to login. Getting error 500 internal server error.,technical,low,82.8
TKT-10188,SSO login with Google is broken since yesterday. Reference: TKT-93611 I have been waiting for 3 days.,technical,medium,32.0
TKT-10189,How can I view login history of my account? This is urgent.,account,medium,31.1
TKT-10190,Does the tool support multi-language interface? Reference: TKT-67898 Thank you in advance.,product,urgent,2.3
TKT-10191,I am unable to verify my phone number for 2FA. I am a premium customer.,account,urgent,1.2
TKT-10192,Can I integrate this tool with Slack and Microsoft Teams? I am a premium customer.,product,high,21.9
TKT-10193,My payment method expired. How do I update it without service interruption? This is affecting my business.,billing,low,88.8
TKT-10194,Please remove the old admin who left the company. Reference: TKT-84177 I am a premium customer.,account,low,69.6
TKT-10195,Need GST invoice for my company purchase. Please escalate this issue.,billing,urgent,3.0
TKT-10196,Please delete my account permanently as per GDPR.,account,high,11.0
TKT-10197,SSO login with Google is broken since yesterday. Looking forward to your response.,technical,high,18.5
TKT-10198,Chrome extension is not syncing with the web app. This is urgent.,technical,high,21.9
TKT-10199,Is offline mode supported on the mobile app? Reference: TKT-48680 I have been waiting for 3 days.,product,low,87.9
TKT-10200,I need to add a new team member with admin privileges. Reference: TKT-80701 Kindly look into this matter.,account,high,19.6
TKT-10201,I cannot change my username. Is it permanent? Looking forward to your response.,account,medium,35.1
TKT-10202,Need to update company name and address in profile. Looking forward to your response.,account,urgent,1.1
TKT-10203,Need to update company name and address in profile. Reference: TKT-39571 Please help as soon as possible.,account,high,7.2
TKT-10204,Can I export all my data in bulk? Thank you in advance.,product,urgent,7.2
TKT-10205,Can I customize the dashboard widgets? Please help as soon as possible.,product,low,67.7
TKT-10206,Please remove the old admin who left the company. Reference: TKT-40647 This is affecting my business.,account,medium,12.3
TKT-10207,What is the uptime SLA for the paid plans? Thank you in advance.,product,low,31.3
TKT-10208,File upload progress bar stuck at 99%. Please escalate this issue.,technical,high,17.3
TKT-10209,How can I change the email address linked to my account? Reference: TKT-14877 I have been waiting for 3 days.,account,high,4.1
TKT-10210,How can I change the email address linked to my account? Reference: TKT-80457 Please help as soon as possible.,account,urgent,1.7
TKT-10211,I cannot export reports in PDF format. Button does nothing. Thank you in advance.,technical,medium,31.8
TKT-10212,File upload progress bar stuck at 99%. Please help as soon as possible.,technical,urgent,5.7
TKT-10213,How many users can I add on the current plan? This is urgent.,product,urgent,5.4
TKT-10214,API integration is failing with authentication error. Reference: TKT-99873 This is affecting my business.,technical,medium,20.1
TKT-10215,How can I view login history of my account? Reference: TKT-46160 This is affecting my business.,account,medium,37.6
TKT-10216,Getting timeout errors during peak hours. Reference: TKT-37801 Please escalate this issue.,technical,urgent,2.3
TKT-10217,I cancelled my plan but still got billed. Requesting refund. Kindly look into this matter.,billing,low,47.4
TKT-10218,The system is showing old data even after refresh. Reference: TKT-38305 Thank you in advance.,technical,low,77.7
TKT-10219,Dashboard is loading very slowly for the past two days. Reference: TKT-28964,technical,medium,35.4
TKT-10220,The system is showing old data even after refresh. Reference: TKT-13379 I have been waiting for 3 days.,technical,medium,42.6
TKT-10221,The system is showing old data even after refresh. Kindly look into this matter.,technical,low,71.3
TKT-10222,I was charged twice for my subscription this month. Please refund the extra amount. I have been waiting for 3 days.,billing,low,64.9
TKT-10223,Can you explain the extra charges on my recent invoice? Please escalate this issue.,billing,high,5.9
TKT-10224,Payment failed but money was deducted from my account. Please help. Reference: TKT-96363,billing,medium,25.2
TKT-10225,I forgot my password and the reset email is not arriving. This is urgent.,account,medium,21.5
TKT-10226,What is the difference between Pro and Enterprise plans? Please escalate this issue.,product,medium,20.8
TKT-10227,What is the difference between Pro and Enterprise plans? This is affecting my business.,product,low,94.1
TKT-10228,My payment method expired. How do I update it without service interruption?,billing,low,52.3
TKT-10229,Someone else has access to my account. Please secure it. Reference: TKT-76263 Thank you in advance.,account,medium,44.1
TKT-10230,How does the AI feature work and is it included? Please help as soon as possible.,product,low,69.4
TKT-10231,Chrome extension is not syncing with the web app. Kindly look into this matter.,technical,medium,40.6
TKT-10232,How does the AI feature work and is it included? Please help as soon as possible.,product,medium,30.1
TKT-10233,My account was locked after multiple failed login attempts. I have been waiting for 3 days.,account,high,15.5
TKT-10234,Is there a desktop application available? Reference: TKT-22656 Please help as soon as possible.,product,low,59.5
TKT-10235,I want to enable two-factor authentication. This is urgent.,account,high,7.9
TKT-10236,How do I transfer ownership of the account to another person? This is affecting my business.,account,high,18.4
TKT-10237,How does the AI feature work and is it included? This is urgent.,product,urgent,2.6
TKT-10238,Someone else has access to my account. Please secure it. Reference: TKT-96079 Thank you in advance.,account,medium,12.9
TKT-10239,What is the difference between Pro and Enterprise plans? This is affecting my business.,product,low,70.5
TKT-10240,I am unable to verify my phone number for 2FA. Reference: TKT-66244,account,low,36.8
TKT-10241,Received a bill for a service I never signed up for. Reference: TKT-45818 Looking forward to your response.,billing,high,22.8
TKT-10242,My account was locked after multiple failed login attempts. Reference: TKT-28776 This is urgent.,account,urgent,7.7
TKT-10243,How does the AI feature work and is it included? Reference: TKT-79531 This is urgent.,product,low,89.9
TKT-10244,Search functionality is not returning correct results. Reference: TKT-50846 This is affecting my business.,technical,medium,25.3
TKT-10245,Someone else has access to my account. Please secure it. Reference: TKT-16895,account,high,4.3
TKT-10246,SSO login with Google is broken since yesterday. This is urgent.,technical,low,90.8
TKT-10247,How do I transfer ownership of the account to another person? Please escalate this issue.,account,medium,27.4
TKT-10248,Can I export all my data in bulk? Reference: TKT-66349 Thank you in advance.,product,medium,46.8
TKT-10249,Received a bill for a service I never signed up for.,billing,medium,46.7
TKT-10250,How do I transfer ownership of the account to another person? Reference: TKT-36794,account,low,85.4
TKT-10251,Account recovery options are not working. I have been waiting for 3 days.,account,urgent,2.7
TKT-10252,I forgot my password and the reset email is not arriving. Please escalate this issue.,account,medium,25.9
TKT-10253,Webhooks are not being triggered for new events. Kindly look into this matter.,technical,low,85.3
TKT-10254,Please remove the old admin who left the company. This is urgent.,account,low,46.8
TKT-10255,Is there a desktop application available? This is affecting my business.,product,urgent,1.8
TKT-10256,Do you offer white-label solution for agencies? Reference: TKT-12733 Looking forward to your response.,product,high,15.1
TKT-10257,Someone else has access to my account. Please secure it. Please escalate this issue.,account,low,91.4
TKT-10258,Please remove the old admin who left the company. Reference: TKT-87184 Please help as soon as possible.,account,low,74.1
TKT-10259,Do you offer white-label solution for agencies? Looking forward to your response.,product,medium,32.5
TKT-10260,Dashboard is loading very slowly for the past two days. Please help as soon as possible.,technical,medium,15.5
TKT-10261,Payment failed but money was deducted from my account. Please help. This is affecting my business.,billing,medium,34.1
TKT-10262,Dashboard is loading very slowly for the past two days. Reference: TKT-88957 Looking forward to your response.,technical,low,95.3
TKT-10263,File upload progress bar stuck at 99%. Reference: TKT-92306 Please help as soon as possible.,technical,high,6.8
TKT-10264,Is there a public roadmap for upcoming features?,product,medium,30.7
TKT-10265,How can I view login history of my account? Reference: TKT-18950 This is affecting my business.,account,urgent,7.1
TKT-10266,How many users can I add on the current plan? Looking forward to your response.,product,medium,38.7
TKT-10267,I am unable to verify my phone number for 2FA. Please escalate this issue.,account,medium,37.1
TKT-10268,How do I update my credit card details for auto-renewal? Please help as soon as possible.,billing,medium,37.3
TKT-10269,I want to change from monthly to annual billing. I am a premium customer.,billing,high,11.2
TKT-10270,The promotional discount was not applied to my bill.,billing,medium,22.6
TKT-10271,I want to enable two-factor authentication. I have been waiting for 3 days.,account,high,20.2
TKT-10272,What is the uptime SLA for the paid plans? This is affecting my business.,product,low,82.3
TKT-10273,I need a copy of last month's invoice for accounting purposes. Reference: TKT-67377 This is urgent.,billing,medium,43.2
TKT-10274,Is there a public roadmap for upcoming features? I have been waiting for 3 days.,product,medium,44.9
TKT-10275,Account recovery options are not working. This is affecting my business.,account,medium,30.4
TKT-10276,Received a bill for a service I never signed up for. Reference: TKT-22387 This is affecting my business.,billing,high,14.0
TKT-10277,How does the AI feature work and is it included?,product,medium,40.7
TKT-10278,How can I view login history of my account? I have been waiting for 3 days.,account,low,70.8
TKT-10279,I need to merge two accounts into one. Reference: TKT-21104 I am a premium customer.,account,urgent,5.8
TKT-10280,How can I view login history of my account? This is affecting my business.,account,medium,40.6
TKT-10281,There is a discrepancy in the billing amount for enterprise plan. Thank you in advance.,billing,high,21.8
TKT-10282,Please delete my account permanently as per GDPR. This is affecting my business.,account,medium,24.2
TKT-10283,Is there a dark mode available in the application? Reference: TKT-23256 I have been waiting for 3 days.,product,low,51.0
TKT-10284,Please pause my subscription and stop billing temporarily. Reference: TKT-59377,billing,high,5.9
TKT-10285,Getting timeout errors during peak hours.,technical,low,65.6
TKT-10286,The application keeps crashing whenever I try to upload a large file. I am a premium customer.,technical,high,4.7
TKT-10287,SSO login with Google is broken since yesterday. Looking forward to your response.,technical,urgent,4.0
TKT-10288,Can I integrate this tool with Slack and Microsoft Teams? Looking forward to your response.,product,low,63.1
TKT-10289,Can I integrate this tool with Slack and Microsoft Teams? This is affecting my business.,product,urgent,2.6
TKT-10290,How many users can I add on the current plan? I am a premium customer.,product,medium,33.3
TKT-10291,Is there a desktop application available? Kindly look into this matter.,product,urgent,0.7
TKT-10292,The application keeps crashing whenever I try to upload a large file. Please escalate this issue.,technical,urgent,0.8
TKT-10293,I want to change from monthly to annual billing. Reference: TKT-31012 Please help as soon as possible.,billing,high,20.5
TKT-10294,I want to enable two-factor authentication. I have been waiting for 3 days.,account,medium,25.0
TKT-10295,Payment failed but money was deducted from my account. Please help. Please escalate this issue.,billing,urgent,1.5
TKT-10296,There is a discrepancy in the billing amount for enterprise plan. Thank you in advance.,billing,medium,30.8
TKT-10297,Is offline mode supported on the mobile app? Reference: TKT-22987 Kindly look into this matter.,product,urgent,6.3
TKT-10298,I need to add a new team member with admin privileges. Reference: TKT-71925 This is urgent.,account,high,8.3
TKT-10299,Search functionality is not returning correct results. Please escalate this issue.,technical,high,16.5
TKT-10300,Payment failed but money was deducted from my account. Please help. I have been waiting for 3 days.,billing,low,30.1
TKT-10301,How many users can I add on the current plan? Kindly look into this matter.,product,low,27.7
TKT-10302,Received a bill for a service I never signed up for.,billing,low,62.3
TKT-10303,Can you explain the extra charges on my recent invoice?,billing,high,14.8
TKT-10304,Mobile app freezes on the home screen after latest update. Reference: TKT-56244 I am a premium customer.,technical,high,16.7
TKT-10305,Dashboard is loading very slowly for the past two days. Please help as soon as possible.,technical,medium,38.1
TKT-10306,I want to enable two-factor authentication. Thank you in advance.,account,low,94.3
TKT-10307,Can you explain the extra charges on my recent invoice? This is urgent.,billing,medium,30.6
TKT-10308,I forgot my password and the reset email is not arriving. This is affecting my business.,account,medium,23.6
TKT-10309,How can I view login history of my account? Please help as soon as possible.,account,low,81.3
TKT-10310,My account was locked after multiple failed login attempts. Thank you in advance.,account,low,43.5
TKT-10311,File upload progress bar stuck at 99%. Please escalate this issue.,technical,high,12.8
TKT-10312,Can I export all my data in bulk? Reference: TKT-69988 I have been waiting for 3 days.,product,high,5.6
TKT-10313,I was charged twice for my subscription this month. Please refund the extra amount. Kindly look into this matter.,billing,medium,12.9
TKT-10314,I want to enable two-factor authentication. I am a premium customer.,account,urgent,7.7
